iter	Passed	Remaining
0	8	8269
1	19	9571
2	26	8840
3	34	8619
4	42	8365
5	51	8463
6	58	8244
7	65	8149
8	73	8085
9	81	8093
10	89	8018
11	98	8099
12	105	8027
13	113	7997
14	121	7956
15	128	7925
16	135	7854
17	143	7813
18	152	7883
19	160	7862
20	167	7827
21	176	7841
22	183	7806
23	194	7892
24	201	7854
25	212	7942
26	219	7916
27	227	7893
28	235	7874
29	243	7862
30	250	7845
31	258	7825
32	265	7788
33	273	7766
34	280	7737
35	288	7713
36	296	7708
37	304	7711
38	312	7688
39	319	7658
40	326	7643
41	333	7617
42	341	7606
43	348	7582
44	359	7627
45	368	7639
46	375	7618
47	383	7600
48	390	7581
49	401	7624
50	409	7612
51	415	7580
52	423	7564
53	431	7555
54	439	7557
55	448	7561
56	455	7542
57	463	7521
58	470	7506
59	478	7491
60	485	7481
61	494	7486
62	505	7510
63	512	7495
64	522	7517
65	529	7496
66	539	7506
67	546	7487
68	554	7484
69	561	7463
70	569	7455
71	577	7438
72	586	7450
73	594	7436
74	601	7421
75	609	7405
76	616	7391
77	623	7373
78	632	7376
79	643	7399
80	652	7399
81	660	7394
82	670	7412
83	677	7392
84	686	7392
85	694	7384
86	705	7401
87	712	7382
88	719	7368
89	728	7366
90	737	7364
91	746	7363
92	753	7349
93	760	7330
94	769	7333
95	777	7317
96	787	7327
97	794	7317
98	805	7327
99	815	7339
100	823	7329
101	831	7321
102	838	7304
103	845	7288
104	853	7272
105	859	7252
106	868	7245
107	878	7258
108	886	7245
109	896	7257
110	904	7243
111	912	7231
112	920	7226
113	928	7219
114	936	7205
115	945	7203
116	952	7190
117	960	7181
118	969	7174
119	979	7186
120	986	7169
121	995	7163
122	1003	7155
123	1011	7144
124	1018	7129
125	1028	7132
126	1035	7118
127	1042	7103
128	1053	7111
129	1061	7101
130	1068	7085
131	1075	7069
132	1082	7058
133	1091	7052
134	1099	7043
135	1107	7033
136	1114	7022
137	1123	7016
138	1130	7005
139	1138	6993
140	1146	6983
141	1155	6981
142	1164	6979
143	1171	6965
144	1179	6955
145	1187	6944
146	1197	6947
147	1208	6954
148	1218	6958
149	1226	6948
150	1233	6935
151	1241	6923
152	1249	6914
153	1259	6917
154	1266	6904
155	1275	6899
156	1282	6884
157	1289	6872
158	1297	6863
159	1306	6860
160	1316	6859
161	1323	6847
162	1332	6840
163	1339	6826
164	1346	6815
165	1353	6802
166	1361	6791
167	1369	6780
168	1376	6768
169	1384	6759
170	1391	6747
171	1399	6734
172	1406	6721
173	1412	6707
174	1421	6699
175	1428	6687
176	1438	6690
177	1446	6679
178	1453	6668
179	1460	6654
180	1468	6646
181	1477	6641
182	1485	6631
183	1493	6621
184	1503	6625
185	1511	6615
186	1518	6603
187	1526	6591
188	1533	6579
189	1540	6569
190	1549	6561
191	1559	6562
192	1566	6550
193	1577	6552
194	1584	6540
195	1591	6529
196	1600	6523
197	1607	6509
198	1615	6503
199	1623	6495
200	1630	6482
201	1640	6479
202	1646	6466
203	1653	6453
204	1661	6443
205	1672	6446
206	1681	6440
207	1689	6433
208	1700	6435
209	1709	6429
210	1717	6423
211	1724	6411
212	1731	6399
213	1739	6388
214	1746	6375
215	1754	6367
216	1761	6355
217	1770	6350
218	1777	6338
219	1784	6325
220	1793	6322
221	1801	6313
222	1809	6305
223	1817	6296
224	1824	6284
225	1831	6272
226	1838	6261
227	1847	6253
228	1855	6247
229	1863	6237
230	1870	6225
231	1877	6214
232	1884	6204
233	1893	6197
234	1899	6184
235	1908	6177
236	1917	6174
237	1925	6164
238	1933	6156
239	1941	6149
240	1952	6148
241	1962	6146
242	1969	6135
243	1977	6127
244	1985	6117
245	1993	6111
246	2001	6100
247	2011	6100
248	2020	6093
249	2028	6085
250	2037	6080
251	2044	6070
252	2052	6061
253	2060	6052
254	2068	6042
255	2075	6032
256	2082	6021
257	2091	6014
258	2098	6003
259	2105	5993
260	2112	5982
261	2120	5973
262	2127	5962
263	2135	5952
264	2142	5943
265	2151	5935
266	2159	5927
267	2166	5916
268	2174	5908
269	2183	5904
270	2190	5893
271	2200	5890
272	2209	5885
273	2218	5877
274	2225	5867
275	2233	5857
276	2240	5847
277	2249	5843
278	2257	5833
279	2264	5823
280	2272	5813
281	2279	5803
282	2286	5793
283	2296	5790
284	2306	5785
285	2316	5782
286	2325	5777
287	2333	5768
288	2341	5759
289	2347	5748
290	2354	5736
291	2363	5729
292	2370	5718
293	2378	5712
294	2385	5701
295	2393	5693
296	2401	5683
297	2408	5672
298	2415	5662
299	2425	5659
300	2432	5649
301	2440	5639
302	2447	5629
303	2454	5618
304	2463	5612
305	2470	5603
306	2477	5593
307	2484	5583
308	2495	5580
309	2505	5576
310	2512	5567
311	2520	5557
312	2527	5546
313	2534	5536
314	2541	5526
315	2549	5518
316	2556	5507
317	2563	5497
318	2570	5486
319	2577	5476
320	2585	5469
321	2592	5459
322	2599	5449
323	2608	5442
324	2615	5431
325	2623	5423
326	2631	5415
327	2638	5405
328	2644	5393
329	2651	5383
330	2658	5373
331	2667	5366
332	2674	5356
333	2685	5354
334	2693	5347
335	2701	5337
336	2709	5330
337	2716	5320
338	2725	5313
339	2732	5304
340	2742	5299
341	2749	5290
342	2757	5280
343	2763	5270
344	2771	5261
345	2779	5252
346	2786	5243
347	2793	5233
348	2800	5224
349	2808	5215
350	2816	5207
351	2824	5199
352	2831	5189
353	2838	5179
354	2846	5171
355	2853	5162
356	2861	5154
357	2870	5147
358	2877	5137
359	2884	5127
360	2891	5118
361	2898	5107
362	2904	5097
363	2912	5088
364	2919	5079
365	2926	5068
366	2934	5060
367	2941	5051
368	2948	5042
369	2956	5033
370	2963	5024
371	2971	5016
372	2982	5013
373	2990	5004
374	2997	4995
375	3005	4988
376	3014	4980
377	3023	4975
378	3031	4966
379	3040	4960
380	3048	4953
381	3056	4945
382	3063	4935
383	3071	4927
384	3078	4918
385	3085	4908
386	3095	4903
387	3105	4897
388	3112	4889
389	3120	4880
390	3128	4872
391	3135	4863
392	3142	4854
393	3150	4844
394	3156	4835
395	3164	4826
396	3172	4819
397	3182	4813
398	3189	4804
399	3197	4796
400	3205	4788
401	3213	4780
402	3220	4771
403	3229	4764
404	3236	4755
405	3245	4747
406	3253	4740
407	3262	4733
408	3269	4724
409	3277	4716
410	3284	4707
411	3292	4698
412	3300	4691
413	3307	4681
414	3316	4674
415	3323	4665
416	3330	4656
417	3337	4647
418	3344	4637
419	3354	4632
420	3361	4623
421	3368	4613
422	3378	4607
423	3385	4599
424	3392	4590
425	3399	4580
426	3407	4572
427	3414	4563
428	3421	4554
429	3429	4545
430	3437	4537
431	3444	4528
432	3452	4520
433	3461	4513
434	3469	4505
435	3475	4496
436	3483	4488
437	3490	4479
438	3499	4472
439	3509	4466
440	3517	4459
441	3526	4452
442	3535	4445
443	3542	4436
444	3550	4428
445	3558	4420
446	3567	4413
447	3575	4405
448	3584	4398
449	3592	4390
450	3600	4382
451	3607	4373
452	3615	4365
453	3622	4356
454	3629	4347
455	3636	4338
456	3644	4330
457	3652	4322
458	3660	4314
459	3668	4306
460	3675	4297
461	3682	4288
462	3689	4278
463	3696	4269
464	3703	4261
465	3710	4251
466	3717	4242
467	3724	4233
468	3731	4224
469	3738	4215
470	3745	4206
471	3752	4197
472	3760	4189
473	3768	4181
474	3775	4172
475	3783	4164
476	3790	4155
477	3797	4147
478	3805	4139
479	3814	4131
480	3821	4123
481	3828	4114
482	3836	4106
483	3843	4098
484	3850	4089
485	3857	4079
486	3865	4072
487	3872	4063
488	3882	4057
489	3889	4047
490	3898	4040
491	3905	4032
492	3913	4024
493	3920	4015
494	3927	4007
495	3937	4000
496	3944	3992
497	3954	3985
498	3962	3978
499	3969	3969
500	3978	3962
501	3986	3954
502	3995	3947
503	4003	3939
504	4010	3931
505	4017	3922
506	4025	3914
507	4032	3905
508	4040	3897
509	4047	3888
510	4054	3879
511	4061	3871
512	4069	3862
513	4076	3854
514	4084	3846
515	4092	3839
516	4101	3831
517	4108	3823
518	4116	3815
519	4123	3806
520	4131	3798
521	4137	3789
522	4145	3781
523	4153	3772
524	4159	3763
525	4167	3755
526	4174	3746
527	4181	3737
528	4188	3729
529	4196	3721
530	4204	3713
531	4212	3705
532	4219	3697
533	4228	3689
534	4235	3681
535	4242	3672
536	4249	3664
537	4257	3655
538	4265	3648
539	4273	3640
540	4281	3632
541	4288	3623
542	4295	3615
543	4302	3606
544	4309	3598
545	4316	3589
546	4324	3581
547	4331	3572
548	4339	3564
549	4348	3557
550	4357	3550
551	4365	3543
552	4372	3534
553	4380	3526
554	4387	3517
555	4394	3509
556	4401	3500
557	4408	3491
558	4415	3483
559	4423	3475
560	4431	3467
561	4438	3459
562	4445	3450
563	4452	3442
564	4461	3434
565	4467	3425
566	4476	3418
567	4484	3410
568	4491	3402
569	4500	3394
570	4508	3386
571	4518	3380
572	4525	3372
573	4532	3363
574	4539	3354
575	4547	3347
576	4557	3341
577	4566	3333
578	4573	3325
579	4582	3318
580	4589	3309
581	4596	3301
582	4603	3292
583	4610	3284
584	4617	3275
585	4627	3269
586	4634	3260
587	4641	3252
588	4649	3244
589	4657	3236
590	4665	3228
591	4674	3221
592	4682	3213
593	4689	3205
594	4696	3196
595	4706	3190
596	4716	3183
597	4723	3175
598	4730	3166
599	4736	3157
600	4746	3150
601	4753	3142
602	4762	3135
603	4770	3127
604	4778	3119
605	4786	3111
606	4793	3103
607	4800	3094
608	4807	3086
609	4816	3079
610	4824	3071
611	4831	3063
612	4838	3054
613	4845	3046
614	4856	3040
615	4864	3032
616	4871	3024
617	4879	3016
618	4888	3009
619	4895	3000
